sample,word,freq,per1000,total_words,author
6,yourself,0,0,160,satoshi
7,about,0,0,201,satoshi
7,after,0,0,201,satoshi
7,again,0,0,201,satoshi
7,against,0,0,201,satoshi
7,all,0,0,201,satoshi
7,and,2,9.950248756218905,201,satoshi
7,are,3,14.925373134328357,201,satoshi
7,been,1,4.975124378109452,201,satoshi
7,below,0,0,201,satoshi
7,between,0,0,201,satoshi
7,both,0,0,201,satoshi
7,but,0,0,201,satoshi
7,cannot,0,0,201,satoshi
7,could,3,14.925373134328357,201,satoshi
7,did,0,0,201,satoshi
7,down,0,0,201,satoshi
7,each,1,4.975124378109452,201,satoshi
7,few,0,0,201,satoshi
7,for,4,19.90049751243781,201,satoshi
7,from,0,0,201,satoshi
7,further,0,0,201,satoshi
7,had,0,0,201,satoshi
7,has,1,4.975124378109452,201,satoshi
7,have,2,9.950248756218905,201,satoshi
7,here,0,0,201,satoshi
7,him,0,0,201,satoshi
7,himself,0,0,201,satoshi
7,his,0,0,201,satoshi
7,how,0,0,201,satoshi
7,into,0,0,201,satoshi
7,itself,0,0,201,satoshi
7,more,2,9.950248756218905,201,satoshi
7,most,0,0,201,satoshi
7,myself,0,0,201,satoshi
7,not,0,0,201,satoshi
7,off,0,0,201,satoshi
7,other,0,0,201,satoshi
7,ought,0,0,201,satoshi
7,our,0,0,201,satoshi
7,out,0,0,201,satoshi
7,over,0,0,201,satoshi
7,own,0,0,201,satoshi
7,same,1,4.975124378109452,201,satoshi
7,should,0,0,201,satoshi
7,some,2,9.950248756218905,201,satoshi
7,such,0,0,201,satoshi
7,than,0,0,201,satoshi
7,that,2,9.950248756218905,201,satoshi
7,the,22,109.45273631840794,201,satoshi
7,their,0,0,201,satoshi
7,them,0,0,201,satoshi
7,then,0,0,201,satoshi
7,there,3,14.925373134328357,201,satoshi
7,these,0,0,201,satoshi
7,they,3,14.925373134328357,201,satoshi
7,this,1,4.975124378109452,201,satoshi
7,those,0,0,201,satoshi
7,through,0,0,201,satoshi
7,too,0,0,201,satoshi
7,under,0,0,201,satoshi
7,until,0,0,201,satoshi
